Current Price,Link,Name,Old Price,Product code/number
$12.99,http://www.hm.com/us/product/68936?article=68936-A,Wide T-shirt with Chest Pocket,$24.99,68936-A
$9.99,http://www.hm.com/us/product/67801?article=67801-C,Draped Top,$17.99,67801-C
$5.99,http://www.hm.com/us/product/49881?article=49881-A,One-shoulder Top,$12.99,49881-A
$7.99,http://www.hm.com/us/product/63610?article=63610-E,Cotton Jersey T-shirt,$12.99,63610-E
$9.99,http://www.hm.com/us/product/41533?article=41533-G,Fine-knit Top,$17.99,41533-G
$5.99,http://www.hm.com/us/product/54630?article=54630-H,Slub Jersey Top,$12.99,54630-H
$12.99,http://www.hm.com/us/product/42288?article=42288-E,Sleeveless Jersey Top,$24.99,42288-E
$14.99,http://www.hm.com/us/product/67643?article=67643-C,Lace Top,$24.99,67643-C
$4.99,http://www.hm.com/us/product/61829?article=61829-D,Lace-trimmed Cotton Tank Top,$6.99,61829-D
$7.99,http://www.hm.com/us/product/68989?article=68989-B,Camisole Top with Flounce,$12.99,68989-B
$9.99,http://www.hm.com/us/product/54630?article=54630-I,Slub Jersey Top,$12.99,54630-I
$9.99,http://www.hm.com/us/product/70150?article=70150-B,Crushed-velvet Top,$14.99,70150-B
$7.99,http://www.hm.com/us/product/67854?article=67854-C,Bustier,$14.99,67854-C
$9.99,http://www.hm.com/us/product/89119?article=89119-M,V-neck Jersey Top,$14.99,89119-M
$9.99,http://www.hm.com/us/product/71823?article=71823-A,Wide-cut T-shirt,$14.99,71823-A
$5.99,http://www.hm.com/us/product/64688?article=64688-B,Jersey Top,$12.99,64688-B
$5.99,http://www.hm.com/us/product/70480?article=70480-B,Ribbed Jersey Top,$12.99,70480-B
$5.99,http://www.hm.com/us/product/70360?article=70360-B,Top with Printed Design,$12.99,70360-B
$6.99,http://www.hm.com/us/product/64432?article=64432-E,Cotton T-shirt,$12.99,64432-E
$7.99,http://www.hm.com/us/product/71478?article=71478-A,Tank Top with Lacing,$12.99,71478-A
$7.99,http://www.hm.com/us/product/61841?article=61841-A,Top with Lace Detail,$12.99,61841-A
$4.99,http://www.hm.com/us/product/69750?article=69750-B,Ribbed Tank Top,$6.99,69750-B
$9.99,http://www.hm.com/us/product/43241?article=43241-I,Linen Jersey Top,$17.99,43241-I
$9.99,http://www.hm.com/us/product/68459?article=68459-F,Wide-cut Camisole Top,$14.99,68459-F
$9.99,http://www.hm.com/us/product/68459?article=68459-E,Wide-cut Camisole Top,$14.99,68459-E
$9.99,http://www.hm.com/us/product/60675?article=60675-P,T-shirt with Motif,$12.99,60675-P
$9.99,http://www.hm.com/us/product/49630?article=49630-B,Jersey Top,$14.99,49630-B
$9.99,http://www.hm.com/us/product/59991?article=59991-A,Fine-knit Top,$17.99,59991-A
$7.99,http://www.hm.com/us/product/69128?article=69128-A,Short Jersey Top,$12.99,69128-A
$12.99,http://www.hm.com/us/product/68421?article=68421-F,Ribbed Camisole Top,$24.99,68421-F
